tweet,date,city,user_location,id,link
Análisis: ¿por qué Egan es el ciclista más beneficiado del Giro? @ELTIEMPO https://t.co/jbjlQcLNqX #ciclismo,2021-05-12 12:33:36,Bogotá,Bogotá,1392457932663672832,https://twitter.com/i/web/status/1392457932663672832
#Giro | -140 Km: El pelotón le da más ventaja a la fuga y se encuentran con 4:10 [EN VIVO] #EnVivo https://t.co/8fiG2KRd36,2021-05-12 12:24:25,Bogotá,Bogotá - Colombia,1392455620427714562,https://twitter.com/i/web/status/1392455620427714562
"#Giro | -150 Km: Se mantienen Tagliani y Marenga en la fuga del día, mientras el pelotón trata de no alejarse mucho [EN VIVO] #EnVivo https://t.co/RIPyKeaYvv",2021-05-12 12:24:20,Bogotá,Bogotá - Colombia,1392455600945180672,https://twitter.com/i/web/status/1392455600945180672
"#Giro | -160 Km: Los dos fugados le sacan 3:23 minutos al pelotón, donde están los seis colombianos [EN VIVO] #EnVivo https://t.co/g9LpQKMInp",2021-05-12 11:51:12,Bogotá,Bogotá - Colombia,1392447264694620169,https://twitter.com/i/web/status/1392447264694620169
"#GiroxElEspectador | El ciclista británico fue líder de la carrera durante 13 días en 2018, en 2019 cuando dijo sentirse fuerte no peleó por el título y el año pasado se retiró porque le dio COVID-19. Esta temporada, dice, será su revancha. #Giro
https://t.co/q9AYCDDM4n",2021-05-12 11:45:02,Bogotá,"Bogotá, Colombia",1392445711657185286,https://twitter.com/i/web/status/1392445711657185286
La quinta etapa del Giro de Italia totalmente plana. Nueva oportunidad para Fernando Gaviria y los demás sprinters del pelotón. 177kms con dos sprint intermedios. La clasificación general no debería sufrir grandes modificaciones #Giro https://t.co/4MABT1POkP,2021-05-12 11:37:01,Bogotá,"Villavicencio,Colombia",1392443694729543682,https://twitter.com/i/web/status/1392443694729543682
Turno para la escapada y los embaladores. Fernando Gaviria tiene la opción de ganar en el Giro un año y 11 meses después de su última victoria. @ELTIEMPO https://t.co/L4k8UxGwsC https://t.co/lbz6XKAvwA,2021-05-12 11:34:14,Bogotá,Bogotá,1392442992863109127,https://twitter.com/i/web/status/1392442992863109127
"#Giro | -176 Km: Comenzó la quinta etapa del Giro de Italia, con dos ciclistas buscando la primera fuga del día, que son Tagliani y Marengo [EN VIVO] #EnVivo https://t.co/wvWhbV2oEw",2021-05-12 11:27:02,Bogotá,Bogotá - Colombia,1392441181452316676,https://twitter.com/i/web/status/1392441181452316676
#Giro | Siga el minuto a minuto de la etapa 5 del Giro de Italia 2021 [EN VIVO] #EnVivo https://t.co/P8b4PJDR93,2021-05-12 11:18:02,Bogotá,Bogotá - Colombia,1392438914418450434,https://twitter.com/i/web/status/1392438914418450434
"#DeportesRCN

Siga acá EN VIVO la etapa 5 del Giro de Italia 2021, de este miércoles 12 de mayo, que tendrá un recorrido entre Modena y Cattolica con final plano (177 km). https://t.co/ViKFATMpQ6",2021-05-12 06:36:31,Bogotá,"Bogotá, Colombia",1392368070841282562,https://twitter.com/i/web/status/1392368070841282562
